year,country,location,tests
2010,France,atmosphere,0
2010,France,underground,0
2010,India,atmosphere,0
2010,India,underground,0
2010,North Korea,atmosphere,0
2010,North Korea,underground,0
2010,Pakistan,atmosphere,0
2010,Pakistan,underground,0
2010,Russia,atmosphere,0
2010,Russia,underground,0
2010,United Kingdom,atmosphere,0
2010,United Kingdom,underground,0
2010,United States,atmosphere,0
2010,United States,underground,0
2011,China,atmosphere,0
2011,China,underground,0
2011,France,atmosphere,0
2011,France,underground,0
2011,India,atmosphere,0
2011,India,underground,0
2011,North Korea,atmosphere,0
2011,North Korea,underground,0
2011,Pakistan,atmosphere,0
2011,Pakistan,underground,0
2011,Russia,atmosphere,0
2011,Russia,underground,0
2011,United Kingdom,atmosphere,0
2011,United Kingdom,underground,0
2011,United States,atmosphere,0
2011,United States,underground,0
2012,China,atmosphere,0
2012,China,underground,0
2012,France,atmosphere,0
2012,France,underground,0
2012,India,atmosphere,0
2012,India,underground,0
2012,North Korea,atmosphere,0
2012,North Korea,underground,0
2012,Pakistan,atmosphere,0
2012,Pakistan,underground,0
2012,Russia,atmosphere,0
2012,Russia,underground,0
2012,United Kingdom,atmosphere,0
2012,United Kingdom,underground,0
2012,United States,atmosphere,0
2012,United States,underground,0
2013,China,atmosphere,0
2013,China,underground,0
2013,France,atmosphere,0
2013,France,underground,0
2013,India,atmosphere,0
2013,India,underground,0
2013,North Korea,atmosphere,0
2013,North Korea,underground,1
2013,Pakistan,atmosphere,0
2013,Pakistan,underground,0
2013,Russia,atmosphere,0
2013,Russia,underground,0
2013,United Kingdom,atmosphere,0
2013,United Kingdom,underground,0
2013,United States,atmosphere,0
2013,United States,underground,0
2014,China,atmosphere,0
2014,China,underground,0
2014,France,atmosphere,0
2014,France,underground,0
2014,India,atmosphere,0
2014,India,underground,0
2014,North Korea,atmosphere,0
2014,North Korea,underground,0
2014,Pakistan,atmosphere,0
2014,Pakistan,underground,0
2014,Russia,atmosphere,0
2014,Russia,underground,0
2014,United Kingdom,atmosphere,0
2014,United Kingdom,underground,0
2014,United States,atmosphere,0
2014,United States,underground,0
2015,China,atmosphere,0
2015,China,underground,0
2015,France,atmosphere,0
2015,France,underground,0
2015,India,atmosphere,0
2015,India,underground,0
2015,North Korea,atmosphere,0
2015,North Korea,underground,0
2015,Pakistan,atmosphere,0
2015,Pakistan,underground,0
2015,Russia,atmosphere,0
2015,Russia,underground,0
2015,United Kingdom,atmosphere,0
2015,United Kingdom,underground,0
2015,United States,atmosphere,0
2015,United States,underground,0
2016,China,atmosphere,0
2016,China,underground,0
2016,France,atmosphere,0
2016,France,underground,0
2016,India,atmosphere,0
2016,India,underground,0
2016,North Korea,atmosphere,0
2016,North Korea,underground,2
2016,Pakistan,atmosphere,0
2016,Pakistan,underground,0
2016,Russia,atmosphere,0
2016,Russia,underground,0
2016,United Kingdom,atmosphere,0
2016,United Kingdom,underground,0
2016,United States,atmosphere,0
2016,United States,underground,0
2017,China,atmosphere,0
2017,China,underground,0
2017,France,atmosphere,0
2017,France,underground,0
2017,India,atmosphere,0
2017,India,underground,0
2017,North Korea,atmosphere,0
2017,North Korea,underground,1
2017,Pakistan,atmosphere,0
2017,Pakistan,underground,0
2017,Russia,atmosphere,0
2017,Russia,underground,0
2017,United Kingdom,atmosphere,0
2017,United Kingdom,underground,0
2017,United States,atmosphere,0
2017,United States,underground,0
