Unique Films,revenue,rating,cat,popularity,genre,Inciting Incident,pp1,Lock In,pp2,First Culmination (Midpoint),pp3,Main Culmination (End of Act Two),pp4,Third Act Twist,pp5,runtime
The Empire Strikes Back,538400000,8.2,rate,78.51783,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
The Green Mile,284600000,8.2,rate,103.698022,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,,,,,,,,,,
Howl's Moving Castle,234710455,8.2,rate,49.549984,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
Princess Mononoke,159375308,8.2,rate,60.732738,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}]",,,,,,,,,,,
One Flew Over the Cuckoo's Nest,108981275,8.2,rate,127.525581,"[{""id"": 18, ""name"": ""Drama""}]",,,,,,,,,,,
GoodFellas,46836394,8.2,rate,63.654244,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]","In 1955 a young Henry Hill (Ray Liotta) is “pinched” by the cops for the first time. He gets off, and his friend/mentor Jimmy Conway (Robert De Niro) tells him he has learned two very important things in life, “Never rat on your friends and always keep your mouth shut.” Outside the court, Henry is congratulated by mob boss Paul Cicero (Paul Sorvino) and his crew. Henry's dream of being a gangster begins.",15,"Henry, Jimmy, and Tommy (Joe Pesci) pull off the Air France heist, and this solidifies Henry's life as a gangster. They give a cut of the money to Paulie, who tells Henry he has made him proud.",35,"Henry, Jimmy, and Tommy pull off the Lufthansa heist, the biggest heist in American history. It looks like the authorities might be on to them, but then it's revealed that Tommy is going to be made, which means the three of them will gain tremendous power and protection.",91,"Tommy arrives at the place where he is to become a made man, only to be shot in the head and killed as revenge for murdering Billy Bats (Frank Vincent). This crushes Henry and Jimmy's dreams of using Tommy's power as a made man to further their goals.",112,Henry meets Jimmy in a diner and realizes that Jimmy plans to have him killed. This unexpected turn of events forces Henry and his wife Karen (Lorraine Bracco) to cut a deal with the authorities. He rats on his friends and enters the witness protection program.,133,146
Psycho,32000000,8.2,rate,93.067866,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","Fed up with her life, Marion Crane steals $40,000 from her employer and runs away.",14,Marion finds it hard to drive in the rainstorm and decides to stop at the Bates Motel. She checks into the motel for the night and meets Norman Bates. ,29,"Marion is stabbed to death in the shower by an old woman, presumably Norman's mother, Mrs. Bates.",48,"Det. Arbogast returns to the motel to question Mrs. Bates. As he approaches her bedroom, she stabs him to death.",78,"Marion's sister and boyfriend visit the sheriff, and we discover that Mrs. Bates has been ""dead and buried"" for 10 years, with Norman impersonating her.",84,109
American History X,23875127,8.2,rate,73.567232,"[{""id"": 18, ""name"": ""Drama""}]",,,,,,,,,,,
12 Angry Men,1000000,8.2,rate,59.259204,"[{""id"": 18, ""name"": ""Drama""}]","Twelve jurors are set to the task of reaching a verdict of a teenage Hispanic boy who has just been tried for murdering his father, with a guilty verdict sending the boy to the electric chair. Once in deliberation, the jurors take a preliminary vote, but Juror #8 (Henry Fonda) is the only one to vote ""not guilty"" because he feels the boy at least deserves a review of the case before they hand in their verdict.",12,"After the other jurors offer a brief examination of the case but fail in their attempts to convince Juror #8 that the boy is guilty, it looks like the only solution will be a hung jury, but Juror #8 offers a proposition: another vote, but by secret written ballet, with Juror #8 abstaining. If all 11 jurors still vote guilty, Juror #8 will agree to join suit with a guilty verdict, but if anyone votes not guilty, they stay and talk it out. After the votes are counted, there is one vote (Juror #9) for ""not guilty"".",31,"The vote is still 10 to 2 in favor of guilty, but after Juror #8 illustrates that the phrase ""I'm gonna kill you"" – a phrase that an old man testified he heard the boy yell at his father – can be delivered in multiple ways and not only as a literal intention to murder someone, a reasonable doubt begins to brew with the credibility of the testimony, causing Juror #5 to change his vote to ""not guilty"".",47,"The vote is now deadlock at 6 to 6, so in an attempt to break it up, Juror #7 changes his vote, trying to can get out of there because he has tickets to a baseball game later that night. Infuriated at the callousness of #7's switch in position, Juror # 11 challenges him to explain why he changed his vote. Juror #7 can't illustrate any logical reason, but still confirms the boy is ""not guilty"". Disappointed, they take another vote: now 9 to 3 in favor of ""not guilty"".",76,"After Juror #9 finally sees his vote has been predicated on racial prejudice and Juror #4 has a reasonable doubt of the credibility of the only eyewitness, a woman who wasn't wearing her eyeglasses, the vote is now 11 to 1 in favor of acquittal. Juror #3 – a man impervious to reason because of personal prejudice towards his own teenage son – is all alone, and now it's up to him to convince the other 11 that they're all wrong. ",89,96
Seven Samurai,271841,8.2,rate,39.756748,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",,,,,,,,,,,
Once Upon a Time in America,0,8.2,rate,49.336397,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",,,,,,,,,,,
The Lord of the Rings: The Return of the King,1118888979,8.1,rev,123.630332,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
Inception,825532764,8.1,rev,167.58371,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]","After botching an extraction job for their employer Cobol Engineering, Cobb (Leonardo DiCaprio) and Arthur (Joseph Gordon-Levitt) decide to lay low for a while, but before they can take a chopper out of the city, Saito (Ken Watanabe) offers Cobb a proposal. Saito assures Cobb that he will be able to return to the United States and see his children if Cobb carries out an “inception”: making Saito’s main competitor’s son decide to break up his father’s empire. ",19,"But Cobb needs an architect. It’s too dangerous for him to design dreams because of his projections of Mal (Marion Cotllard), his dead wife, so Cobb goes to Paris to meet Mal’s father, Miles (Michael Caine), who introduces him to Ariadne (Ellen Page), an even better architect than Cobb. After Cobb takes Ariadne into her first shared dream experience – where Mal stabs her – Ariadne quits. But Cobb knows she’ll be back: reality will no longer be enough for her.",35,"After assembling the entire team – Cobb; Arthur; Ariadne; Eames (Tom Hardy), the forger; Yusuf (Dileep Rao), the chemist, and Saito, the financer – and planning their three level dream strategy, Ariadne sneaks into Cobb’s personal dream and discovers he has built a prison of memories to contain Mal. Once back in reality, Ariadne advises Cobb that the team needs someone (her) who understands his struggle. Cobb nods in agreement and tells Saito to “get us another seat on the plane.”",61,"After a shootout in the snowy fields surrounding the fortress, Fischer (Cillian Murphy) finally reaches the safe. But just then Mal appears as a projection of Cobb's subconscious and shoots Fischer. Cobb shoots Mal, but it's too late. Cobb says it's all over – they've failed, because with Fischer dead, there is no way to implant the idea in his mind. But Ariadne says there's still a way: they must follow Fischer into limbo, implant the idea there, and then improvise a kick to get out.",111,"Cobb explains to Ariadne the truth behind Mal's death. When they were stuck in limbo before, Mal believed it was reality. To convince her otherwise, Cobb performed inception on her — he broke into her safe, left her top spinning, and planted the idea in her mind that this world (limbo) was not real. Finally convinced, she laid on the train tracks with Cobb, and when they died, they woke up back in their house, but the idea Cobb planted stayed in her mind and came to possess her.",127,148
