Unique Films,revenue,rating,cat,popularity,genre,Inciting Incident,pp1,Lock In,pp2,First Culmination (Midpoint),pp3,Main Culmination (End of Act Two),pp4,Third Act Twist,pp5,runtime
Apocalypse Now,89460381,8,rate,49.973462,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]","Cpt. Benjamin Willard (Martin Sheen), returns to Vietnam for his second tour and waits for his new mission in Saigon. Willard is finally called upon and given a top-secret mission to seek out Col. Walter E. Kurtz (Marlon Brando), who has gathered around him a tribe of indigenous Cambodian warriors who worship and fight for Kurtz in his own war fought entirely without U.S. military approval, and is told to “terminate the colonel’s command with extreme prejudice.”",18,"Willard rendezvous with the boat and the crew that will take him up river to Kurtz, and also with the Air Cavalry, commanded by Lieutenant Col. Bill Kilgore (Robert DuVall). Willard and the boat’s crew watch as Kilgore’s cavalry decimates a small Vietnamese village within a matter of minutes, destroyed only for the sole purpose of allowing one of the boat’s crew members, Lance B. Johnson (Sam Bottoms), an opportunity to surf some of the best waves in Vietnam. However; Willard, Lance and the rest of the crew escape from Kilgore’s madness, and begin their journey up the river and toward Kurtz.",50,"Willard’s mission leads the crew to the final American outpost on the river; a precariously built bridge where Lieutenant Carlsen (Glenn Walken) waits to deliver the final dossier for Willard’s mission. Willard and Lance get off the boat to have a look around. On their walk, it becomes increasingly clear that no one is in charge of this outpost; every night Charlie blows up the bridge, the U.S. military rebuilds it just to say “the road is open.” Chief Phillips (Albert Hall), the boat’s captain, asks Willard once more which way to go, and they all continue further up the river.",104,"Finally, Willard explains his mission to the only two remaining crew members of the boat; Lance and Jay ‘Chef’ Hicks (Frederic Forrest), and the very next day they arrive at their destination. They are greeted by the village natives, painted white, and a neurotic Photojournalist (Dennis Hopper). It doesn’t take long before Willard is dragged through the mud by the villagers and taken before Kurtz to explain his mission.",151,"The longer Willard is held in Kurtz’ camp, the more uncertain he becomes of the ethics behind his mission to assassinate Kurtz, until finally it is Kurtz himself who convinces Willard what to do. So, while the villagers undergo a sacrificial dance and ceremony, Willard seeks out Kurtz in order to terminate his command. ",178,194
Scarface,65884703,8,rate,70.105981,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,,,,,,,,,,
Taxi Driver,28262574,8,rate,58.845025,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,,,,,,,,,,
Some Like It Hot,25000000,8,rate,39.30982,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,,,,,,,,,,
Oldboy,14980005,8,rate,56.76349,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
The Dark Knight Rises,1084939099,7.6,rev,112.31295,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,,,,,,,,,,
Toy Story 3,1066969703,7.6,rev,59.995418,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",,,,,,,,,,,
The Hobbit: The Desolation of Smaug,958400000,7.6,rev,94.370564,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",,,,,,,,,,,
Finding Nemo,940335536,7.6,rev,85.688789,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]","After an attack by a barracuda, Marlin is left a widower and his entire clutch of eggs has been destroyed. Upon further inspection, he discovers that one egg, Nemo, survived. He promises the little Nemo: “I’ll never let anything happen to you.” ",4,"On his first day of school, Nemo is dared by some of his classmates to swim out into open water to touch a boat. Marlin’s father shows up to prevent him from doing so, but Nemo defies his father’s wishes and touches the boat anyway. But just as he’s about to swim back in, he is captured by two divers. Marlin has no choice but to frantically swim after the divers, who get in their boat and motor away.",15,"Having only an address gleaned from a pair of the diver’s goggles, which fell off the boat that took his son, Marlin has been blindly making his way across the ocean when he gets directions from a school of fish and sets out with his traveling companion, Dory (Ellen Degeneres), but instead of following the fishes’ instructions, they swim over a canyon and are surrounded by jellyfish. Marlin does all he can to save Dory from the jellies before fainting himself.",48,"Dory and Marlin are trapped in the belly of a whale. Marlin gives up all hope of escaping, but he won’t follow Dory to the back of the throat. Finally, Dory convinces him to “Let go,” and he literally lets go and he falls deeper into the whale. As everything seems to be lost, the whale blows them out of his blowhole and into the Sydney harbor, where they know Nemo will be found.",73,"After Nemo has escaped from the dentist’s tank and been reunited with Marlin, Dory is swept up in a fishing net. Their reunion seems to be soured until Marlin and Nemo save Dory by getting all the fish in the net to swim in the same direction. ",87,100
Jurassic Park,920100000,7.6,rev,40.413191,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
Titanic,1845034188,7.5,rev,100.025899,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",,,,,,,,,,,
Harry Potter and the Philosopher's Stone,976475550,7.5,rev,109.984351,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",,,,,,,,,,,
Harry Potter and the Goblet of Fire,895921036,7.5,rev,101.250416,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]","It is announced that Hogwarts will host the Triwizard Tournament. Three schools will participate and there will be one champion selected from each. Dumbledore (Michael Gambon) explains that each champion will face extremely dangerous tasks, and they must do it alone.",16,"When the three champions are selected, the goblet of fire also coughs out Harry's (Daniel Radcliffe) name as a fourth champion even though he didn't put his name into the competition due to an age restriction rule. Everyone thinks he cheated, but he is locked into the competition because once the Goblet of Fire spits out a name, it's a binding magical contract.",32,"With the help of the new dark arts professor, Mad-Eye-Moody (Brendan Gleeson), Harry manages to successfully complete the first task–stay alive while trying to snatch a golden egg from a Hungarian Horntail dragon. Before the task, Moody had helped Harry come up with a strategy to deal with the dragon. It becomes clear to everyone how dangerous this all is and that Harry would have to be insane to have actually put his name into the cup",60,"After the second Triwizard task, Harry is rewarded for his valor in trying to save all of the champions' loved ones from the bottom of the lake as opposed to saving merely his own. Not only has he succeeded, he's been given second place for moral fiber despite finishing last.",95,"The final Triwizard task is to find the winner's cup at the center of a dangerous maze. Harry is successful, but decides to be gracious and share the glory with the last remaining champion, Cedric Diggory (Robert Pattinson). This backfires however when it turns out that Mad-Eye-Moody bewitched the winner's cup so that it whisks Harry and Cedric right into Voldermort's (Ralph Fiennes) clutches. Cedric is killed and Harry barely escapes with his life.",114,157
The Avengers,1519557910,7.4,rev,144.448633,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
Harry Potter and the Order of the Phoenix,938212738,7.4,rev,78.144395,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}]",,,,,,,,,,,
Harry Potter and the Half-Blood Prince,933959197,7.4,rev,98.885637,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",,,,,,,,,,,
Harry Potter and the Chamber of Secrets,876688482,7.4,rev,132.397737,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]","During a book signing for Gilderoy Lockheart (Kenneth Branagh), the new famous defense against the dark arts teacher, Luscius Malfoy (Jason Isaacs) slips a book into Ginny Weasley's (Bonnie Wright) cauldron.",21,"Harry (Daniel Radcliffe) follows a mysterious voice that no one else can hear to Mrs. Norris—groundskeeper Filch's (David Bradley) cat. Mrs. Norris has been petrified, and on the wall is written in blood: ""The chamber of secrets has been opened, enemies of the heir beware."" The groundskeeper accuses Harry, but there is a general consensus that Harry was in the wrong place at the wrong time.",43,"When Harry saves a student by telling a snake not to attack him, the whole school snubs him because they think he was actually egging the snake on. He is blamed again when he finds another victim, but Dumbledore (Richard Harris) believes him when he says he's innocent.",73,"After some close calls and wild-goose chases involving deadly giant spiders and magic diaries, Ron (Rupert Grint) and Harry discover where the chamber of secrets is and that the monster is a basilisk–and just in time too, Ginny Weasley has been taken to the chamber by the monster. All the adults are either gone or useless. It is up to Harry and Ron save the day.",111,"Harry discovers that all the attacks were done by Ginny. She was under the spell of the book Luscius Malfoy put in her cauldron—Voldermort's diary. It sapped the life out of her bit-by-bit as a way to bring back Voldermort (Christian Coulson). After defeating the Basilisk, Harry stabs the book, and it bleeds away all the power it had stored up. Voldermort is again defeated, and Ginny wakes from her unconsciousness.",129,161
The Hunger Games: Catching Fire,847423452,7.4,rev,76.310119,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
Furious 7,1506249360,7.3,rev,102.322217,"[{""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
Avengers: Age of Ultron,1405403694,7.3,rev,134.279229,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
Frozen,1274219009,7.3,rev,165.125366,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",,,,,,,,,,,
Avatar,2787965087,7.2,rev,150.437577,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
Captain America: Civil War,1153304495,7.1,rev,198.372395,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
The Hobbit: The Battle of the Five Armies,956019788,7.1,rev,120.965743,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",,,,,,,,,,,
Star Wars: Episode III - Revenge of the Sith,850000000,7.1,rev,44.108427,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
Pirates of the Caribbean: Dead Man's Chest,1065659812,7,rev,145.847379,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
The Hobbit: An Unexpected Journey,1021103568,7,rev,108.849621,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
Despicable Me 2,970761885,7,rev,136.886704,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",,,,,,,,,,,
Skyfall,1108561013,6.9,rev,93.004993,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",,,,,,,,,,,
Pirates of the Caribbean: At World's End,961000000,6.9,rev,139.082615,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
Iron Man 3,1215439994,6.8,rev,77.68208,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
Spider-Man,821708551,6.8,rev,82.502566,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",,,,,,,,,,,
The Jungle Book,966550600,6.7,rev,94.199316,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",,,,,,,,,,,
Shrek 2,919838758,6.7,rev,47.320801,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",,,,,,,,,,,
Jurassic World,1513528810,6.5,rev,418.708552,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",,,,,,,,,,,
Ice Age: Dawn of the Dinosaurs,886686817,6.5,rev,69.457898,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
Minions,1156730962,6.4,rev,875.581305,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,,,,,,,,,,
Pirates of the Caribbean: On Stranger Tides,1045713802,6.4,rev,135.413856,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",,,,,,,,,,,
Alice in Wonderland,1025491110,6.4,rev,78.530105,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
Star Wars: Episode I - The Phantom Menace,924317558,6.3,rev,54.035265,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,,,,,,,,,
Spectre,880674609,6.3,rev,107.376788,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",,,,,,,,,,,
Ice Age: Continental Drift,877244782,6.2,rev,65.229868,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",,,,,,,,,,,
Transformers: Dark of the Moon,1123746996,6.1,rev,28.529607,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
The Twilight Saga: Breaking Dawn - Part 2,829000000,6.1,rev,99.687084,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,,,,,,,,,,
Transformers: Revenge of the Fallen,836297228,6,rev,21.939663,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
Spider-Man 3,890871626,5.9,rev,115.699814,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
The Secret Life of Pets,875958308,5.9,rev,31.482872,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",,,,,,,,,,,
Transformers: Age of Extinction,1091405097,5.8,rev,116.840296,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",,,,,,,,,,,
Batman v Superman: Dawn of Justice,873260194,5.7,rev,155.790452,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",,,,,,,,,,,
